# wavenlength / nm,    wavenumber / cm-1,  norm. absorbance
4.300143433000000641e+02,2.325503824653469209e+01,1.341971937526002974e-02
4.289367371000000162e+02,2.331346125213950415e+01,1.351050426248836395e-02
4.280129395000000159e+02,2.336377963638643607e+01,1.543414280615733672e-02
4.269349669999999719e+02,2.342277108447760625e+01,1.294313172551844054e-02
4.260108643000000370e+02,2.347357975583910417e+01,1.617302026993347117e-02
4.249325256000000195e+02,2.353314796479773108e+01,1.481252793252494163e-02
4.240080565999999749e+02,2.358445752231020265e+01,1.456008946808812210e-02
4.229293518000000063e+02,2.364461099103124297e+01,1.439824959691797870e-02
4.220046082000000069e+02,2.369642370175425938e+01,1.528800386481126219e-02
4.209255066000000056e+02,2.375717280897132611e+01,1.600211650596522484e-02
4.200004271999999901e+02,2.380949959186136766e+01,1.553891674631064507e-02
4.190751953000000185e+02,2.386206607346774433e+01,1.751128438240084906e-02
4.179956055000000106e+02,2.392369648967517648e+01,1.511241862709251059e-02
4.170700684000000251e+02,2.397678653460522469e+01,1.578692446443219488e-02
4.159900817999999845e+02,2.403903467296560947e+01,1.886712947390891543e-02
4.150642090000000053e+02,2.409265791452521910e+01,1.531678152874013481e-02
4.139838867000000278e+02,2.415552952969558120e+01,1.919592672530235841e-02
4.130577086999999779e+02,2.420969222792766828e+01,1.930958328991275175e-02
4.119769896999999901e+02,2.427320032432384167e+01,1.864952368127718862e-02
4.110505370999999855e+02,2.432790885167292672e+01,2.314284111005223549e-02
4.099694519000000241e+02,2.439206129543331159e+01,2.475946352003095471e-02
4.090426636000000258e+02,2.444732760145267036e+01,2.588186091220682009e-02
4.079612427000000139e+02,2.451213241193512005e+01,2.814887385295853153e-02
4.070341492000000017e+02,2.456796320322108329e+01,2.802953384770119627e-02
4.059523621000000162e+02,2.463343222901768925e+01,3.262850431964377240e-02
4.050249633999999901e+02,2.468983619195853407e+01,4.083072677918601207e-02
4.039428406000000109e+02,2.475597781395608621e+01,4.710566340061701773e-02
