# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
4.305000000000000000e+02,2.322880371660859566e+01,2.010082720644380345e-06,3.725291331377031390e-01
4.310000000000000568e+02,2.320185614849187772e+01,2.194800708414355985e-06,4.077083743957592987e-01
4.315000000000000000e+02,2.317497103128621205e+01,2.381921602698340785e-06,4.434953425300101615e-01
4.320000000000000000e+02,2.314814814814814881e+01,2.561305838132837789e-06,4.780011407357027120e-01
4.325000000000000000e+02,2.312138728323699510e+01,2.762779272706476538e-06,5.167951303302008581e-01
4.330000000000000000e+02,2.309468822170900637e+01,2.926717127398192146e-06,5.487272674987596632e-01
4.335000000000000000e+02,2.306805074971164871e+01,3.102758872933603165e-06,5.830774286091467973e-01
4.340000000000000000e+02,2.304147465437787901e+01,3.227202388845009782e-06,6.078629331532906521e-01
4.345000000000000000e+02,2.301495972382048194e+01,3.407172381531553664e-06,6.432409257024374050e-01
4.350000000000000000e+02,2.298850574712643535e+01,3.564123533262343917e-06,6.744212755815670590e-01
4.354999999999999432e+02,2.296211251435132183e+01,3.694681810703327715e-06,7.007342758884456124e-01
4.360000000000000000e+02,2.293577981651376163e+01,3.842093685252410619e-06,7.303666411917423273e-01
4.365000000000000000e+02,2.290950744558992014e+01,3.996703596844798596e-06,7.615009288899323714e-01
4.370000000000000000e+02,2.288329519450800831e+01,4.106602168632979273e-06,7.842337095416713755e-01
4.375000000000000000e+02,2.285714285714285765e+01,4.200654399321722318e-06,8.040315061201734892e-01
4.380000000000000000e+02,2.283105022831050235e+01,4.307940970460747005e-06,8.264526275370716046e-01
4.385000000000000000e+02,2.280501710376282887e+01,4.409474156708663067e-06,8.478636121687943561e-01
4.390000000000000000e+02,2.277904328018223268e+01,4.505408085439434436e-06,8.682867516339731750e-01
4.395000000000000000e+02,2.275312855517633537e+01,4.562041011938287527e-06,8.812049823762526657e-01
4.400000000000000000e+02,2.272727272727272663e+01,4.630692731001481861e-06,8.965021127218869568e-01
4.405000000000000000e+02,2.270147559591373465e+01,4.677062729136294675e-06,9.075384212272888940e-01
4.410000000000000000e+02,2.267573696145124629e+01,4.722930942972979900e-06,9.185203327203280699e-01
4.415000000000000000e+02,2.265005662514156271e+01,4.717456665314845505e-06,9.195372674806666646e-01
4.420000000000000000e+02,2.262443438914027283e+01,4.744082697254602272e-06,9.268229720664480364e-01
4.425000000000000000e+02,2.259887005649717651e+01,4.750633544378466617e-06,9.302037394489560684e-01
4.429999999999999432e+02,2.257336343115124322e+01,4.761878426438394160e-06,9.345138793101080976e-01
4.435000000000000000e+02,2.254791431792559209e+01,4.739188445642042284e-06,9.321616385473359134e-01
4.440000000000000000e+02,2.252252252252252163e+01,4.707835161044989326e-06,9.280837923077649432e-01
4.445000000000000000e+02,2.249718785151856082e+01,4.697355032393703086e-06,9.281045816391060299e-01
4.449999999999999432e+02,2.247191011235955216e+01,4.663092749967890296e-06,9.234089418123911930e-01
4.455000000000000000e+02,2.244668911335578088e+01,4.617350473191289109e-06,9.164067027518935094e-01
4.460000000000000000e+02,2.242152466367712904e+01,4.575392377263592461e-06,9.101187501157647075e-01
4.465000000000000000e+02,2.239641657334826519e+01,4.509783940571571248e-06,8.990806734062147809e-01
4.470000000000000000e+02,2.237136465324384815e+01,4.449766313700229677e-06,8.891033573741292662e-01
4.475000000000000000e+02,2.234636871508379841e+01,4.387351045237278381e-06,8.785944677527977031e-01
4.479999999999999432e+02,2.232142857142857295e+01,4.353401874185975746e-06,8.737451697566218645e-01
4.484999999999999432e+02,2.229654403567447218e+01,4.304873860967374842e-06,8.659350630997744158e-01
4.490000000000000000e+02,2.227171492204899650e+01,4.233635615327262746e-06,8.535051736855915339e-01
4.495000000000000000e+02,2.224694104560622776e+01,4.191147028446945733e-06,8.468223048844625289e-01
4.500000000000000000e+02,2.222222222222222143e+01,4.155019472467936088e-06,8.413914431747570033e-01
4.505000000000000000e+02,2.219755826859045555e+01,4.073482709508655889e-06,8.267143342654591498e-01
4.510000000000000000e+02,2.217294900221729392e+01,4.007830088061181048e-06,8.151966477417322832e-01
4.515000000000000568e+02,2.214839424141749546e+01,3.979316763706910078e-06,8.111926757443722602e-01
4.520000000000000000e+02,2.212389380530973426e+01,3.955344426666831838e-06,8.080926877457403901e-01
4.525000000000000000e+02,2.209944751381215511e+01,3.934244261350139599e-06,8.055611015380744755e-01
4.530000000000000000e+02,2.207505518763796815e+01,3.887517189213934304e-06,7.977535148814022259e-01
4.535000000000000000e+02,2.205071664829106837e+01,3.872422616394805719e-06,7.964111482386426744e-01
4.540000000000000000e+02,2.202643171806167288e+01,3.870216326875857429e-06,7.977135084303441648e-01
4.545000000000000568e+02,2.200220022002200082e+01,3.878748857311707605e-06,8.012341211420939135e-01
4.550000000000000000e+02,2.197802197802197810e+01,3.863228165366468929e-06,7.997848109349933177e-01
4.555000000000000568e+02,2.195389681668495996e+01,3.859085060265264933e-06,8.006839330751024386e-01
4.559999999999999432e+02,2.192982456140351033e+01,3.878711735150154935e-06,8.065238033601824785e-01
