\hline 0	vacuum	0.00	j	1.00	j	0.00	j	1.0000		j		$0.00 \mathrm{E}+00$	j	0.0	j
\hline 1520	1-chlorobutane	1.90	[1]	7.39	{$[1] \mathrm{a}$}	4.00	{$[\mathrm{~m}]$}	1.400	0.510	[1]	10.1	$1.00 \mathrm{E}-08$	[1]	67.1	[3]
\hline 1530	chlorobenzene	1.69	[2]	5.62	[1]	3.00	{$[\mathrm{~m}]$}	1.521	0.592	[1]	12.4	$7.00 \mathrm{E}-09$	[1]	69.6	[3]
\hline 1540	dichloromethane	1.14	[1]	8.93	[1]	8.50	{$[\mathrm{~m}]$}	1.421	0.600	[1]	6.5	$4.30 \mathrm{E}-09$	[1]	46.6	[3]
\hline 1550	"1,1-dichloroethane"	1.82	[1]	10.00	{$[1] \mathrm{a}$}	14.30	[m]	1.413	0.520	[1]	8.4	$2.00 \mathrm{E}-07$	[1]	57.4	[3]
\hline 1560	"1,2-dichloroethane"	1.83	[1]	10.36	[1]	5.08	[c]	1.442	0.540	[1]	8.3	$4.00 \mathrm{E}-09$	[1]	59.6	[3]
\hline 1570	"tr-1,2-dichloroethylene"	0.70	[1]	2.14	[1]			1.446	1.138	[2]	8.2			48.9	[3]
\hline 1580	o-dichlorobenzene	2.50	[1]	9.93	[1]	4.47	{$[\mathrm{~m}]$}	1.549	0.458	[1]	14.3	$3.00 \mathrm{E}-09$	[1]	84.4	[3]
\hline 1590	m-dichlorobenzene	1.54	[1]	5.04	[1]	2.76	{$[\mathrm{~m}]$}	1.543	0.498	{$[1]$}	14.3		{$[1]$}	84.1	[3]
\hline 1600	chloroform	1.15	{$[1]$}	4.89	{$[4]$}	3.68	{$[\mathrm{~m}]$}	1.442	0.590	{$[1]$}	8.5	$1.00 \mathrm{E}-08$	{$[1]$}	59.3	[3]
\hline 1610	"1,1,1-trichloroethane"	1.70	[1]	7.25	{$[1] \mathrm{a}$}	11.40	{$[\mathrm{~m}]$}	1.435	0.420	[1]	10.4	$7.30 \mathrm{E}-07$	[1]		
\hline 1620	"1,1,2-trichloroethane"	1.55	{$[1]$}	7.29	{$[1] \mathrm{a}$}			1.468	0.524	{$[1]$}	10.3				
\hline 1630	trichloroethylene	0.80	[1]	3.42	{$[1] \mathrm{a}$}			1.475	0.568	[1]	10.0	$8.00 \mathrm{E}-10$	[1]	65.8	[3]
\hline 1640	"1,2,4-trichlorobenzene"	1.26	[2]	4.15	[4]			1.571		[4]	16.3			106.5	[3]
\hline 1650	tetrachloromethane	0.00	[1]	2.24	{$[1] \mathrm{a}$}	2.06	[m]	1.457	0.558	[1]	10.5	$4.00 \mathrm{E}-16$	[1]	66.8	[3]
\hline 1660	tetrachloroethylene	0.00	{$[1]$}	2.28	[1]	2.02	{$[\mathrm{~m}]$}	1.503	0.530	{$[1]$}	12.0			81.6	[3]
\hline 1670	"1,1,2,2-tetrachloroethane"	1.71	[1]	8.20	{$[1] \mathrm{a}$}			1.491	0.520	{$[1]$}	12.3			89.8	{$[3$}
\hline 1680	pentachloroethane	0.94	$\lceil 1\rceil$	3.73	$\lceil 1\rceil \mathrm{a}$			1.500	0.460	$\lceil 1\rceil$	14.1			99.2	$\lceil 3$
\hline 1690	1-bromobutane	1.96	[1]	7.10	{$[1] \mathrm{a}$}	0.49	{$[\mathrm{~m}]$}	1.437	0.460	[1]	11.2			71.0	
\hline 1700	bromobenzene	1.56	[1]	2.65	[1]	2.65	[m]	1.557	0.490	[1]	13.5	$1.20 \mathrm{E}-09$	[1]	78.1	[3]
\hline 1710	dibromomethane	1.43	[2]	6.68	[3]d	12.50	[m]	1.538		[2]	8.7			65.1	{$[3$.}
\hline 1720	"1,2-dibromoethane"	1.19	[1]	4.75	{$[1] \mathrm{b}$}	2.91	{$[\mathrm{~m}]$}	1.536	0.580	[1]	10.7	$2.00 \mathrm{E}-08$	[1]	78.8	[3.
\hline 1730	bromoform	0.99	[1]	4.39	{$[1] \mathrm{a}$}	2.42	[m]	1.595	0.550	[1]	11.8	$2.00 \mathrm{E}-06$	[1]	82.6	{$[3]$}
