Wavelength,S1 / R1,S1/R1c,S1c / R1,S1c / R1c,S1,R1
nm,Undefined / MicroAmps, ,Undefined / MicroAmps,Undefined / MicroAmps,CPS,MicroAmps
519.5,470.048135909588,388.027998173408,839.961292838661,693.393876294459,5133.5,10.9211999443976
520,469.341620523455,387.444764819171,842.044712606827,695.113753771331,5124.5,10.9184867027843
520.5,446.601642604486,368.672755239067,804.161561199761,663.84094938814,4877,10.9201869103265
521,433.044182768724,357.480978060316,782.719778184152,646.140608709806,4728,10.9180541710402
521.5,426.415799977458,352.009202067321,773.796580149495,638.774446808126,4656,10.9189181175849
522,412.554655725675,340.566731295675,751.441842835872,620.320456021179,4506.5,10.9234308404235
522.5,405.105618810396,334.417499628236,740.742673650862,611.488217610225,4425,10.9231235039936
523,395.586008072987,326.558994901526,726.081024500267,599.384924489368,4320.5,10.9217710869834
523.5,380.538730437865,314.137362790557,700.960573498097,578.647817859377,4156.5,10.9226804803061
524,364.501435547472,300.898464564966,673.756347313477,556.190540355558,3981.5,10.9230945245011
524.5,369.659693991922,305.156642707483,686.190226890068,566.454794233083,4039,10.9262589593578
525,354.814585787605,292.901902864632,660.908958731863,545.584931924768,3875.5,10.9225854851876
525.5,346.547963561421,286.077748849268,648.110536709622,535.019745728553,3785.5,10.9234551171572
526,333.132530985593,275.003216159215,625.367704317387,516.245379760958,3640.5,10.9280852167064
526.5,329.621632955576,272.104945470955,621.346644036136,512.925966593945,3599,10.9185604088399
527,321.703981075136,265.568868897742,608.808514304628,502.575653490073,3513.5,10.921524175359
527.5,314.3714682405,259.515828667513,597.266915340332,493.047983450132,3433.5,10.9217553246541
528,304.713988967907,251.543512508246,581.09998753999,479.702072357768,3329,10.9249865106103
528.5,301.713176172985,249.06632072138,577.730863663372,476.920837217004,3296.5,10.9259176660182
529,289.955276546176,239.360092983479,557.186316450748,459.961170920557,3166.5,10.9205728569869
529.5,287.059380730092,236.969510890733,553.851622573334,457.208357983069,3135,10.9211194176632
530,280.51254870996,231.565055625245,543.26592870319,448.469794232018,3062,10.9157026664922
530.5,274.43908563545,226.551369709393,533.621961852685,440.508632670956,2997.5,10.9222203393087
531,269.826281899813,222.743468214278,526.773659636652,434.855311666648,2947.5,10.9237002007787
531.5,261.515379221089,215.882760378051,512.457174059385,423.036953470895,2856.5,10.9229112603385
532,253.818676876992,209.529079180406,499.228561764196,412.116642218982,2772,10.9211714562381
532.5,248.938182748917,205.50019740865,491.538025336316,405.768051027964,2717.5,10.9163559349336
533,235.769794899473,194.629601854637,466.996113398873,385.508532410778,2573,10.913175316605
533.5,241.968801775687,199.746925050029,481.583885225864,397.550839288315,2641,10.9146920982414
534,238.330271594452,196.743293135212,476.210072402015,393.114719509728,2603,10.9217841301965
534.5,225.016068197866,185.752325835121,450.943863571608,372.257288781016,2458.5,10.9258262414565
535,220.378512111887,181.923991103026,443.291092659376,365.939873285246,2406,10.9175765190563
535.5,210.203331450719,173.524308854812,424.26060113172,350.23007046379,2295,10.9179995079535
536,212.589434877633,175.494053792506,431.124285128131,355.896089234546,2321.5,10.9201325280016
536.5,202.866647020151,167.467824943192,412.769242931849,340.743874523536,2214,10.9135743980312
537,199.935231765864,165.047921307717,408.474284414829,337.198356462131,2183.5,10.9210325646347
537.5,199.426302393368,164.627796578918,409.215540846812,337.810268790811,2178,10.9213319664941
538,195.280506071678,161.205412944895,402.254451929498,332.063841581892,2131.5,10.915078987895
538.5,190.010773192847,156.855211883201,392.838974367991,324.291299514538,2074.5,10.9177789970863
539,181.219452214658,149.597915406819,375.81446044672,310.237445127981,1978.5,10.9176770897363
539.5,182.797458487842,150.900570536179,380.827675942924,314.37588931017,1995,10.9136928703228
540,172.701242965732,142.56607455825,360.767452562914,297.816035698595,1885,10.9147745323245
540.5,175.225430601191,144.649808968356,367.987291526499,303.776062866351,1912.5,10.9145138755828
541,173.104653534075,142.899092781954,365.170848844026,301.45106988678,1889,10.9124727256532
541.5,162.81817369099,134.407532286688,344.493638923216,284.38188960409,1777,10.9139961845358
542,163.267450365925,134.778413299679,347.14024422767,286.56668064949,1782,10.9146354270981
542.5,154.722403102287,127.724417483718,329.976991118264,272.398296100323,1688.5,10.913131520828
543,151.639180021302,125.179195433807,324.731132685618,268.067803559635,1655.5,10.9173208000587
543.5,149.873889518352,123.721935873084,322.346250212236,266.099066527555,1636,10.9158474022119
544,148.700772402549,122.753519552941,321.254616655206,265.197915450648,1624,10.9212597496963
544.5,144.539660905378,119.318493135276,313.419713759749,258.730148738789,1578,10.9173928429064
545,138.042880427334,113.955355765122,300.235430867914,247.846431716976,1507.5,10.9206082116017
545.5,136.568795567696,112.738488483825,298.085899950615,246.071979027706,1491,10.9175597252328
546,134.184736940402,110.770431542408,293.844203515149,242.570429184244,1465,10.9177886558999
546.5,126.986815173181,104.828497172349,278.567206773767,229.959162356882,1386,10.9145182182342
547,126.810809932928,104.683203625101,279.252262747907,230.524680817599,1383.5,10.9099857962987
547.5,121.07946012296,99.9519345832833,267.162288628304,220.544323281408,1321.5,10.9143374137884
548,118.195034999587,97.5708216269736,261.544765501236,215.907018956243,1290.5,10.918409185083
548.5,115.154489279553,95.0608300346944,255.502020774094,210.918691249319,1256.5,10.9114674064259
549,114.000937065613,94.1085646768126,253.809607848642,209.521592634567,1244.5,10.9166002556155
549.5,109.648676402529,90.5157432961737,244.617334005304,201.933306785524,1197,10.9166601250011
550,106.371348732497,87.8102865609822,237.86607574484,196.36009623999,1161,10.9146112083478
550.5,103.814156474212,85.6993066056914,232.932777435266,192.287624249963,1133,10.9137124381942
